speaker_id,speaker_gender
0201,male
0202,male
0206,male
0207,male
0208,male
0209,male
0216,male
0217,male
0218,female
0219,female
0220,male
0221,female
0222,male
0224,male
0225,male
0233,female
0238,male
0239,female
0240,male
0242,female
0243,female
0244,female
0245,female
0247,male
0248,female
0254,male
0256,female
0259,male
0260,female
0261,male
0264,male
0265,male
0267,female
0284,male
0285,female
0288,male
0292,female
0293,female
0295,female
0296,male
0297,female
0300,female
0301,female
0302,male
0303,female
0304,female
0305,female
0308,female
0309,female
0310,female
0314,female
0315,male
0316,female
0324,female
0325,male
0326,female
0329,male
0333,female
0334,female
0336,female
0345,female
0348,female
0362,female
0379,male
0380,female
0383,male
0386,female
0389,female
0392,female
0397,female
