speaker_id	wav_filename	transcript	saying
0203	0203.111024.084752.0378.wav	1	uno
0206	0206.111024.094638.0373.wav	1	uno
0219	0219.111025.091755.0532.wav	1	uno
0226	0226.111026.054840.0509.wav	1	usa
0234	0234.111026.073138.0580.wav	1	usa
0235	0235.111026.013558.0457.wav	1	uno
0282	0282.120201.034152.0515.wav	1	uno
0287	0287.120213.004933.0554.wav	1	uno
0300	0300.120224.080049.0493.wav	1	uno
0334	0334.120511.024021.0517.wav	1	uno
0337	0337.120511.024021.0517.wav	1	uno
0367	0367.120522.080323.0352.wav	1	usa
0383	0383.120523.080943.0243.wav	1	usa
0399	0399.120420.070746.0612.wav	1	usa
0202	0202.111024.005622.0421.wav	2	dos
0210	0210.111024.045929.0503.wav	2	dos
0213	0213.111025.023930.0471.wav	2	dos
0213	0213.111025.023930.0474.wav	2	dos
0240	0240.111027.020441.0544.wav	2	dos
0248	0248.111027.081256.0503.wav	2	dos
0258	0258.111028.053120.0605.wav	2	duha
0259	0259.111028.092530.0547.wav	2	duha
0301	0301.120227.070009.0530.wav	2	dos
0306	0306.120229.052056.0518.wav	2	dos
0307	0307.120229.022236.0467.wav	2	dos
0324	0324.120419.082435.0505.wav	2	dos
0332	0332.120509.092303.0499.wav	2	dos
0367	0367.120522.080323.0361.wav	2	duha
0389	0389.120524.022412.0243.wav	2	dos
0204	0204.111024.073059.0607.wav	3	tres
0247	0247.111027.061926.0642.wav	3	tres
0254	0254.111027.055008.0486.wav	3	tres
0260	0260.111028.004940.0506.wav	3	tulo
0261	0261.111028.004900.0502.wav	3	tres
0286	0286.120209.070854.0487.wav	3	tres
0288	0288.120214.095727.0531.wav	3	tres
0306	0306.120229.052056.0512.wav	3	tulo
0318	0318.120321.053858.0487.wav	3	tulo
0318	0318.120321.053858.0493.wav	3	tulo
0327	0327.120424.051037.0485.wav	3	tres
0376	0376.120523.051754.0323.wav	3	tres
0399	0399.120420.070746.0609.wav	3	tulo
0204	0204.111024.073059.0612.wav	4	kwatro
0206	0206.111024.094638.0371.wav	4	kwatro
0236	0236.111026.020119.0550.wav	4	upat
0241	0241.111027.005231.0545.wav	4	upat
0244	0244.111027.032944.0523.wav	4	kwatro
0266	0266.111028.064214.0679.wav	4	kwatro
0287	0287.120213.004933.0544.wav	4	kwatro
0296	0296.120222.094039.0561.wav	4	upat
0315	0315.120315.102131.0494.wav	4	upat
0321	0321.120413.085226.0568.wav	4	upat
0399	0399.120420.070746.0615.wav	4	upat
0203	0203.111024.084752.0369.wav	5	singko
0210	0210.111024.045929.0498.wav	5	singko
0217	0217.111025.005023.0591.wav	5	singko
0232	0232.111026.055115.0491.wav	5	singko
0240	0240.111027.020441.0547.wav	5	singko
0241	0241.111027.005231.0552.wav	5	lima
0242	0242.111027.073953.0464.wav	5	singko
0259	0259.111028.092530.0539.wav	5	singko
0261	0261.111028.004900.0509.wav	5	singko
0267	0267.111028.004646.0518.wav	5	singko
0386	0386.120524.004855.0273.wav	5	singko
0392	0392.120524.050600.0313.wav	5	lima
0397	0397.120327.024105.0480.wav	5	lima
0201	0201.111024.022631.0474.wav	6	unom
0209	0209.111024.052209.0462.wav	6	sais
0216	0216.111025.014902.0451.wav	6	sais
0221	0221.111025.040126.0508.wav	6	unom
0225	0225.111026.003300.0603.wav	6	unom
0234	0234.111026.073138.0581.wav	6	unom
0238	0238.111027.030601.0493.wav	6	sais
0283	0283.120201.065104.0557.wav	6	unom
0288	0288.120214.095727.0534.wav	6	sais
0299	0299.120224.064201.0539.wav	6	sais
0299	0299.120224.064201.0544.wav	6	sais
0300	0300.120224.080049.0502.wav	6	sais
0327	0327.120424.051037.0479.wav	6	unom
0328	0328.120427.013724.0484.wav	6	sais
0345	0345.120521.052109.0369.wav	6	sais
0380	0380.120521.052109.0369.wav	6	sais
0206	0206.111024.094638.0368.wav	7	syete
