speaker_id,speaker_gender
0200,male
0203,male
0204,male
0205,female
0210,female
0211,male
0213,female
0214,male
0215,male
0223,male
0226,male
0227,male
0228,male
0229,female
0231,male
0232,female
0234,female
0235,male
0236,male
0237,male
0241,female
0246,female
0249,female
0250,male
0251,male
0253,male
0255,female
0257,male
0258,female
0262,female
0263,male
0266,male
0268,female
0281,female
0282,female
0283,female
0286,female
0287,female
0289,female
0290,female
0291,male
0294,female
0298,female
0299,male
0306,female
0307,male
0311,female
0312,female
0313,female
0317,female
0318,female
0320,male
0321,female
0322,female
0323,male
0327,female
0328,male
0330,female
0331,female
0332,female
0335,female
0337,female
0340,female
0351,female
0359,male
0367,male
0370,female
0376,female
0398,male
0399,male
